,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32
E599,,D,D,E,A,E,E,C,C,A,E,B,A,E,C,C,A,D,B,B,D,B,E,,A,,E,C,E,,A,D
E600,E,C,E,D,A,A,A,D,A,D,B,B,D,B,A,D,D,D,B,E,A,E,C,A,D,D,D,B,A,D,B,B
E601,D,,D,B,C,D,B,C,A,B,C,D,E,A,C,B,E,A,C,D,B,C,C,D,C,E,B,C,B,C,A,D
E602,D,D,A,B,A,A,E,B,D,D,E,C,D,C,D,D,C,B,D,B,E,E,E,D,E,A,E,B,B,C,E,C
E603,C,E,B,C,E,A,D,D,D,D,E,B,E,D,B,A,C,C,A,B,A,A,E,A,C,B,A,B,A,D,E,A
E604,A,C,E,E,D,D,E,E,B,E,,E,E,A,C,E,A,E,E,A,C,A,D,E,A,,C,C,D,C,D,C
E605,A,D,B,B,E,B,B,E,D,A,D,C,E,D,C,A,B,E,B,B,D,B,D,D,A,E,D,C,D,A,A,A
E606,A,,,B,A,E,,C,D,D,,C,,B,,A,E,D,,B,E,,C,D,A,,A,C,,,D,E
E607,,D,D,B,E,,E,,D,A,D,,C,B,C,C,B,E,B,B,C,C,D,,A,C,D,C,C,C,A,
E608,C,A,,C,A,D,E,A,A,D,D,,,A,C,C,A,D,A,B,B,D,,,E,D,A,B,D,,D,
E609,,,,E,,,,,D,C,,,C,,D,A,B,,A,,,,,,,,,,,,E,A
E610,A,C,D,B,A,B,D,,D,A,D,C,C,,C,D,D,D,B,B,B,B,D,,A,C,A,C,E,B,A,D
E611,D,D,E,E,E,B,D,E,D,A,E,B,B,E,D,C,C,A,E,B,D,B,D,C,A,A,D,B,D,A,A,C
E612,C,B,B,B,E,D,E,,D,A,B,A,A,C,A,A,E,D,E,B,E,C,D,A,A,,D,B,C,C,E,C
E613,B,E,C,B,A,C,A,E,D,B,E,D,A,D,D,C,B,B,C,B,B,C,D,D,A,A,A,C,D,B,E,B
E614,D,D,E,B,A,D,A,E,D,C,E,A,A,C,B,C,E,B,D,B,D,C,A,E,C,C,A,C,D,E,E,A
E615,D,D,C,A,D,D,D,C,D,D,D,D,A,,C,A,D,C,D,B,E,D,B,E,A,A,D,B,A,B,D,A
E616,D,D,D,B,E,A,D,E,D,A,D,C,C,,C,C,A,A,E,B,A,B,D,D,A,C,A,C,C,A,A,
E617,B,E,,A,E,E,B,,D,D,,,D,,B,D,E,B,,,E,,B,C,,B,A,,,E,B,A
E618,C,B,C,A,E,,D,C,D,C,E,A,A,B,D,D,B,C,D,B,C,C,B,A,E,B,A,E,D,B,A,C
E619,E,D,D,B,A,D,A,E,D,B,D,A,A,C,C,C,E,D,E,B,D,B,D,D,,C,D,C,C,A,A,A
E620,D,A,B,A,E,D,D,E,D,A,C,D,A,,C,C,E,D,D,B,E,C,D,D,C,C,D,D,A,D,A,C
E621,A,A,,B,A,D,D,D,C,C,E,,C,C,C,A,E,C,,D,C,,A,A,,,A,D,C,A,D,D
E622,C,B,C,A,A,A,E,E,C,A,D,E,E,C,D,A,E,B,D,B,D,E,A,E,A,C,D,C,D,A,D,D
E623,,,,C,E,B,E,,E,C,E,,D,,C,A,B,D,B,A,,A,,,,,,D,B,,D,
E624,C,C,,,E,,B,C,D,A,,,D,E,D,C,B,C,,B,D,B,C,D,,,A,C,,D,,C
E625,B,D,,E,E,E,D,A,D,D,D,,,A,C,C,E,A,A,B,D,D,A,,D,B,A,,B,C,E,E
E626,A,B,C,B,E,C,E,D,D,D,D,C,C,D,C,A,E,E,B,B,E,B,D,,D,A,A,C,C,B,E,A
E627,D,D,D,B,E,,E,E,D,A,D,C,C,,C,C,E,D,B,B,D,C,C,D,D,A,D,C,C,,A,A
E628,A,D,D,B,A,D,D,E,D,A,D,A,C,C,C,C,E,D,B,B,A,B,D,D,A,A,D,C,,,A,A
E629,C,D,D,B,A,E,D,B,D,A,D,,C,B,C,C,E,D,D,B,D,C,D,D,D,,D,C,,C,A,
E630,B,,C,B,,,E,,D,,D,,E,C,C,A,C,D,D,B,,B,D,,A,,A,D,B,,,A
E631,A,B,,B,E,D,A,,D,A,,,D,E,B,A,E,D,B,B,E,C,A,,C,,A,,D,,A,D
E632,D,D,,B,C,D,A,,D,C,D,,C,D,B,D,E,D,,B,,,D,A,A,A,A,,E,,E,E
E633,D,D,D,B,A,D,B,E,D,A,D,E,C,D,C,C,E,D,B,B,D,B,A,,A,C,A,C,D,B,A,C
E634,B,D,,C,A,A,E,,D,C,B,,C,,C,B,C,D,,B,D,C,,A,A,,B,,,D,B,D
E635,E,B,E,B,E,D,A,D,D,C,E,B,A,C,D,C,A,E,,A,B,,A,C,C,,E,,,B,C,E
E636,,A,,A,E,A,D,C,D,A,E,C,A,C,C,C,E,D,D,D,,C,D,C,A,C,D,C,E,,B,
E637,,B,,B,C,E,,C,D,A,,,C,,C,D,E,E,D,,B,,,,B,,A,,B,B,B,B
E638,D,B,,B,E,D,E,,D,D,E,,C,C,C,D,E,A,A,B,D,B,D,D,D,,A,A,,,C,A
E639,D,B,E,A,C,D,D,E,C,D,E,E,C,D,D,D,E,B,D,A,A,C,C,A,D,,A,D,E,C,D,D
E640,D,A,E,C,E,D,D,A,C,D,E,E,A,E,B,A,C,B,D,B,B,C,C,D,D,B,A,B,A,B,D,C
E641,A,,,E,,A,D,,D,C,,,A,A,C,A,E,D,,B,A,,,,D,,A,A,,C,A,D
E642,,D,,B,,,A,,D,B,D,,A,D,C,C,C,D,A,B,E,B,,D,A,A,A,C,D,,,D
E643,C,D,E,A,E,D,,E,D,D,E,C,C,,C,C,E,A,C,B,,C,C,,,,A,C,D,,,A
E644,B,,B,A,,,A,,D,C,,E,E,B,D,D,E,D,,B,B,B,D,,D,,D,,B,B,A,
E645,D,D,,B,A,D,E,C,D,B,D,C,C,A,B,C,E,C,D,B,B,B,D,D,A,A,D,E,B,B,A,C
E646,,D,,,E,D,,,C,,,,,,,,E,C,,B,D,,C,A,E,,E,D,,C,E,D
E647,D,D,D,A,E,A,D,E,D,C,D,A,A,D,C,D,E,A,,B,B,A,E,,A,C,A,,C,,B,C
E648,B,A,E,C,E,A,E,B,C,B,E,,B,B,A,D,B,B,E,D,C,C,D,E,B,B,A,B,B,A,B,D
E649,B,D,,B,E,E,E,,D,A,D,,E,,C,C,E,D,A,B,C,B,D,D,A,C,A,C,D,B,A,A
E650,B,D,D,C,E,D,E,A,C,D,D,E,C,C,E,B,B,C,,B,A,A,D,D,A,C,A,C,D,C,A,
E651,A,C,,D,A,D,E,E,D,A,B,C,C,C,C,D,E,E,A,B,B,C,D,D,C,C,E,B,C,E,E,D
E652,D,D,D,B,A,D,A,E,D,A,D,A,C,C,C,C,E,C,E,B,D,B,C,D,A,A,C,C,B,E,A,C
E653,A,B,E,E,E,D,E,E,D,D,E,,A,E,B,A,B,B,D,B,D,C,B,E,,,A,C,D,A,E,
E654,A,,B,B,A,A,E,E,D,B,D,,C,D,C,C,A,D,A,B,E,B,D,D,A,,A,D,C,A,A,C
E655,B,D,B,E,C,B,D,A,A,B,D,B,D,A,A,D,E,A,D,A,E,D,B,E,D,E,B,D,C,B,B,A
E656,A,B,A,C,A,E,A,,D,E,D,,C,C,D,D,E,D,A,B,,C,,D,,D,D,A,B,C,D,D
E657,D,D,D,B,A,C,E,,E,A,E,,C,,A,A,E,D,,B,E,C,D,D,A,C,D,A,D,C,A,
E658,A,D,B,B,A,D,E,D,D,B,D,D,C,,C,D,A,A,D,B,B,C,B,D,A,A,A,C,E,B,A,A
E659,,B,D,B,E,E,B,A,C,D,E,C,A,C,C,A,E,A,C,B,A,E,D,D,A,B,A,C,D,B,D,C
E660,D,,,,E,D,E,A,C,C,D,,,C,E,B,,C,,,C,B,,,,,,,C,,C,B
E661,D,E,D,D,E,A,C,B,D,B,E,C,B,C,B,A,C,C,C,B,E,D,D,E,D,A,A,D,D,B,B,A
E662,A,D,D,A,E,A,E,E,D,A,E,C,E,,C,C,E,C,,B,C,C,E,D,A,C,B,B,D,,D,
E663,B,D,E,E,E,D,D,,D,B,E,,C,,C,A,B,D,D,D,B,C,E,,D,C,A,,,,E,
E664,C,D,,C,E,C,E,,D,A,,,D,,,A,C,D,,,A,E,B,,A,,A,,D,C,D,C
E665,C,D,C,B,D,D,B,B,D,A,E,D,A,D,C,D,E,A,B,B,E,C,D,D,B,A,A,E,D,A,A,A
E666,A,D,,B,E,D,E,B,D,,D,,C,D,C,C,E,D,,B,C,C,D,,D,,A,,,B,A,
E667,B,B,,C,E,D,B,E,D,D,E,,E,A,C,A,B,D,,A,A,,D,A,A,,A,C,A,,C,C
E668,,D,C,B,A,C,E,A,D,A,,,A,,C,C,A,D,,B,D,B,A,,A,A,A,C,D,B,A,D
E669,A,,,B,,,,,D,D,,,,,,,C,D,,,,,,,,,,,,,D,C
E670,D,D,D,B,E,C,E,E,D,A,D,A,C,C,C,A,E,D,D,B,D,B,D,C,A,C,D,B,C,B,A,C
E671,A,D,E,B,A,A,E,B,C,B,E,E,C,C,C,A,A,D,B,B,A,B,D,E,A,C,D,C,D,C,A,C
E672,C,E,E,E,E,E,A,C,E,A,D,,C,D,D,A,E,D,A,B,E,E,D,,C,A,A,C,D,A,E,A
E673,E,D,D,B,A,A,B,E,D,D,B,,C,A,E,A,C,A,D,B,E,C,C,C,D,,A,C,C,A,A,C
E674,D,D,E,B,A,E,A,E,D,B,D,A,C,,C,C,E,D,A,B,E,A,C,E,D,A,A,C,C,A,A,
E675,A,,,C,D,,D,A,A,D,E,E,C,E,C,D,A,B,A,B,C,,B,A,,,D,C,,,A,D
E676,C,D,D,D,A,D,E,E,D,A,D,A,C,B,C,C,B,A,B,B,A,C,D,C,A,C,E,C,D,A,A,B
E677,E,B,B,D,E,A,D,B,D,A,E,C,C,B,B,C,E,C,E,B,B,A,C,E,D,D,D,C,E,C,A,B
E678,C,A,E,B,A,C,B,,D,A,B,,B,,B,B,E,C,D,B,A,E,C,D,D,C,A,A,D,C,A,
E679,B,,,D,E,,,B,A,D,,,A,,D,C,A,C,D,B,,,D,D,,,A,,,,,B
E680,,E,,C,E,B,E,B,D,D,,,C,,C,C,,D,,B,,C,B,D,D,C,A,C,D,,,
E681,D,E,B,E,E,B,D,A,A,A,B,E,C,D,E,B,D,B,E,E,D,E,E,B,E,E,B,B,E,D,A,E
E682,A,D,D,B,A,C,E,E,D,A,E,A,C,,C,C,D,A,B,B,D,B,D,D,A,C,A,C,B,C,D,A
E683,E,B,,B,E,A,A,,D,D,,,E,C,,A,E,D,A,A,E,B,,,B,,A,,C,C,D,B
E684,D,D,,B,E,D,D,,D,A,D,A,C,D,C,A,D,E,E,B,D,B,A,,D,,D,,C,E,A,D
E685,B,B,E,A,C,E,D,,D,C,D,,C,C,C,C,E,E,C,B,B,C,D,C,B,C,D,C,D,C,A,D
E686,B,D,D,B,A,D,E,E,A,B,D,C,C,E,C,C,E,,,B,D,B,,D,A,C,A,C,,,A,B
E687,D,D,C,B,E,D,E,C,D,E,,,A,C,C,C,D,D,B,B,B,C,C,C,A,E,D,C,D,E,A,B
E688,,C,,B,,,D,,D,E,,,A,,B,D,B,C,A,B,B,,,E,C,,,,,,,
E689,D,D,B,B,E,B,D,A,D,D,C,,C,,A,C,E,D,D,B,D,D,C,,D,C,A,B,A,C,A,D
E690,D,D,C,D,E,E,D,B,D,E,D,D,A,C,B,C,E,E,D,B,A,C,D,D,A,E,D,C,B,B,A,A
E691,D,D,,B,E,,D,,D,C,,,C,,B,D,E,,D,B,,,,,,,A,,D,E,,
E692,D,D,B,B,,,D,,D,D,,,C,,B,A,A,D,,B,C,C,D,D,A,,A,,D,,A,
E693,E,C,C,B,D,A,B,D,A,D,E,A,E,E,B,A,E,C,D,B,B,A,A,C,E,D,B,D,E,D,E,E
E694,B,D,D,A,A,A,E,D,A,D,B,C,C,A,D,D,B,E,D,E,D,A,E,E,D,A,A,B,C,B,B,D
E695,D,E,C,B,C,,D,A,D,B,D,D,A,B,B,C,,C,A,B,E,B,D,D,E,C,B,C,D,B,A,
E696,E,D,E,B,E,E,A,C,A,B,,B,C,D,C,A,E,D,E,B,E,C,E,D,A,,D,C,E,A,A,B
E697,D,D,B,B,E,C,E,C,E,C,B,B,B,A,B,D,B,C,D,D,C,C,E,B,C,C,A,B,B,C,C,C
E698,A,D,D,B,A,,E,E,D,A,D,A,C,C,C,C,E,A,D,B,D,B,D,D,A,C,D,C,C,A,A,A
E699,A,D,D,B,A,E,E,,D,A,D,,A,,C,C,A,D,B,B,B,C,E,D,C,A,D,C,D,A,A,A
E700,A,D,D,B,E,D,E,,D,B,D,,A,D,C,C,D,D,E,B,B,B,D,C,A,,D,E,C,B,A,A
E701,D,C,D,B,A,C,E,E,C,A,B,C,A,A,C,C,E,C,E,B,A,C,C,A,A,A,A,C,B,B,A,D
E702,B,,,B,B,C,E,,D,D,,,C,E,C,C,A,D,E,B,E,D,C,,B,,A,E,D,C,B,B
E703,A,D,,B,A,E,E,E,D,A,,,C,C,C,A,B,D,A,B,C,B,D,,A,,A,C,B,B,A,A
E704,B,D,E,B,A,D,,,C,B,D,D,C,C,C,C,E,A,A,B,,A,D,D,E,C,D,C,D,B,A,A
E705,A,D,D,B,A,A,E,E,D,A,D,E,C,E,D,C,E,D,A,B,C,B,D,D,A,C,D,C,E,A,A,A
E706,D,,C,C,A,E,E,,D,B,E,E,,A,A,E,B,A,D,B,,C,,,C,E,A,B,B,A,C,
E707,D,A,D,B,E,D,E,E,D,C,E,C,C,D,C,C,A,A,B,B,B,B,C,C,A,C,A,C,D,C,B,A
E708,C,D,D,B,A,E,E,E,D,A,D,,C,D,D,C,E,D,B,B,B,B,D,D,A,C,D,C,E,B,A,D
E709,B,B,E,C,D,D,E,C,D,C,C,A,E,E,B,C,E,E,D,A,B,B,D,D,C,C,D,B,D,E,D,E
E710,E,D,,C,A,,D,,D,A,,,,,,A,E,C,,B,,,,,D,,A,,D,,A,
E711,A,B,D,B,E,D,E,C,D,A,D,C,E,,C,C,E,D,B,B,E,C,A,C,A,C,A,C,C,B,A,
E712,A,D,D,E,A,E,E,E,D,A,D,D,C,C,C,C,E,D,B,B,D,B,D,A,A,C,D,C,B,A,A,A
E713,,D,C,B,E,D,E,B,D,A,E,C,C,A,A,A,A,D,,B,B,C,D,A,A,A,A,B,B,B,A,A
E714,A,D,D,A,E,A,E,E,D,A,D,C,C,D,D,C,E,C,E,B,C,B,D,D,C,A,D,C,C,C,A,D
E715,D,D,,E,,A,A,A,C,E,B,A,A,,B,D,E,E,C,B,E,C,C,D,,E,A,D,D,E,D,
E716,,D,,,,,,,D,D,,,,A,A,C,E,B,,,B,B,,,,,A,,,,,
E717,A,B,,A,D,C,E,C,A,D,D,,D,D,D,C,B,D,D,B,C,C,C,,D,,A,B,B,B,E,C
E718,D,D,C,E,E,D,E,C,D,B,D,D,C,D,C,C,E,D,E,B,D,B,B,C,A,C,D,C,A,B,A,D
E719,D,D,,B,C,D,E,,D,E,,,C,,C,B,A,A,D,B,E,B,D,A,D,,A,A,C,,A,A
E720,B,,,A,E,,A,B,D,D,,,,,,B,E,D,,B,,,C,,D,,D,B,C,,A,
E721,,D,,A,A,D,E,E,D,D,,,C,,B,C,E,E,D,B,,B,D,,,,D,C,C,A,A,B
E722,B,D,D,B,E,E,E,D,D,A,,,C,,C,A,,D,A,B,B,B,D,B,A,,D,C,E,,A,
E723,D,D,E,B,C,D,E,A,D,D,C,E,A,C,C,D,E,E,E,B,D,B,D,A,A,C,A,C,B,B,A,A
E724,D,E,D,E,E,B,C,E,D,C,E,A,B,E,D,C,E,C,A,B,A,A,E,D,A,D,A,A,D,A,A,E
E725,C,,,A,,,B,,C,B,D,,D,,C,A,A,,D,B,,E,,,,,A,,D,,E,
E726,,,,,,,,,C,C,D,,,C,B,C,B,C,,B,,,,,A,,D,,A,,D,
E727,A,,E,A,A,C,E,A,D,D,,,A,C,B,A,B,E,D,B,B,E,B,,B,B,E,C,C,C,B,B
E728,,D,C,B,E,,A,E,D,A,D,A,B,,C,C,E,D,D,B,C,B,D,C,,C,A,,,,,A
E729,D,,,B,C,,D,B,D,A,A,,B,E,A,C,E,E,A,B,A,E,A,E,A,,A,C,B,,A,
E730,D,A,,,E,E,D,D,D,D,,,E,,C,A,B,E,A,B,A,B,E,E,E,,A,B,D,E,C,B
E731,D,D,D,B,A,D,E,B,D,A,D,C,C,C,C,A,A,A,B,B,B,B,C,E,A,E,D,C,C,B,A,A
E732,,D,,,E,A,D,,D,C,,,,,B,A,A,,,,,C,,,,,D,,D,,E,
E733,,D,D,,E,,A,,D,B,C,,C,A,D,B,A,E,B,D,D,B,D,,,,,C,D,C,D,E
E734,D,D,,B,A,D,D,A,D,D,E,C,C,,D,C,E,C,E,B,E,B,B,,A,A,A,,A,C,D,D
E735,A,E,D,B,E,D,E,,D,A,D,A,E,D,C,C,A,D,B,B,,A,A,C,A,A,D,C,D,A,A,A
E736,A,D,E,B,E,,D,,D,B,D,A,C,,C,C,,D,B,B,E,B,E,D,A,A,D,C,D,A,A,B
E737,,D,,B,A,C,D,,A,A,,,C,C,C,A,E,B,D,B,B,,B,,,,B,,,,A,A
E738,,,D,B,B,D,C,A,D,B,,B,E,A,A,B,C,A,,E,C,D,C,,,,A,D,A,B,B,C
E739,D,D,D,B,A,D,E,E,D,A,B,D,A,A,C,A,E,E,A,B,D,B,D,E,A,A,E,C,B,A,A,A
E740,A,D,D,B,A,B,D,E,D,A,D,,A,B,C,A,,,D,B,D,A,D,,A,A,A,C,D,B,A,
E741,A,D,D,B,A,,E,E,D,C,D,D,C,C,C,C,B,D,B,B,C,B,D,D,A,A,D,C,D,A,A,A
E742,B,D,,,A,,A,B,D,A,,,A,,A,A,E,B,D,B,B,E,B,C,D,B,E,B,E,,B,B
E743,B,E,C,C,E,D,A,,A,D,B,E,D,C,B,A,A,E,A,A,B,E,C,C,E,,C,C,C,B,C,A
E744,A,B,,A,A,D,D,B,D,A,,E,C,,C,C,E,E,B,B,C,B,D,D,A,C,A,,D,B,B,A
E745,A,C,,C,A,D,D,A,D,C,E,,A,,B,B,E,B,D,B,C,,B,,C,,A,,D,,A,C
E746,D,C,D,A,A,E,E,A,D,A,D,,C,E,C,C,B,E,B,B,D,B,D,D,A,A,A,C,D,C,D,A
E747,,D,D,B,A,E,E,E,D,B,D,,C,C,C,C,,D,B,B,D,B,D,,A,A,D,C,E,C,A,A
E748,E,C,D,B,C,C,D,E,D,A,D,D,C,,C,C,E,A,E,B,E,B,D,D,A,C,B,C,E,E,A,A
E749,A,D,E,B,E,D,E,C,D,A,D,,A,,C,A,E,E,E,B,D,A,A,C,A,A,A,A,A,B,A,C
E750,D,D,D,B,A,D,E,A,D,A,D,A,B,C,B,C,E,A,D,B,A,B,A,D,A,A,D,B,D,B,A,B
E751,A,D,D,B,E,C,B,E,D,B,D,B,D,E,C,B,A,D,B,B,D,B,D,A,A,C,A,D,B,E,A,D
E752,D,B,A,,A,B,A,D,D,D,,D,B,,C,E,,A,,,A,B,,,,,D,B,D,,D,E
E753,D,D,B,A,E,A,E,,D,A,E,E,A,,D,C,E,C,,B,A,A,A,,A,,D,B,B,C,A,C
E754,A,D,B,A,E,B,E,,D,A,D,A,C,B,D,C,E,E,E,B,E,A,D,,D,C,A,C,E,A,A,
E755,A,D,D,B,A,C,E,E,D,B,D,C,C,C,C,D,A,D,B,B,B,B,A,D,A,C,A,C,C,B,A,A
E756,A,B,C,A,E,E,E,E,D,D,D,D,C,A,C,C,B,C,A,B,E,B,D,D,A,C,D,C,D,C,A,B
E757,,D,D,B,A,C,,E,D,A,D,C,D,C,C,C,E,,E,B,E,B,C,D,,C,D,C,C,A,A,D
E758,C,E,D,B,E,B,A,E,D,C,A,B,B,C,C,C,E,B,C,B,C,D,D,E,D,E,E,E,C,D,E,C
E759,,E,,B,E,A,E,,D,D,D,,C,,C,C,C,C,D,B,E,C,C,,A,,A,,E,A,B,C
E760,D,D,D,,E,A,D,A,D,C,D,A,A,,B,C,E,D,A,B,E,,C,,E,A,A,B,A,C,E,C
E761,B,C,B,C,E,,B,E,D,D,E,,B,D,A,B,E,D,D,B,E,E,B,A,,,C,B,D,C,E,B
E762,C,B,,B,A,D,E,B,D,B,,B,C,,C,B,A,D,C,B,E,C,A,D,D,,A,C,,B,A,D
E763,D,D,C,E,E,B,A,,D,A,,,C,,C,C,A,E,A,B,B,B,A,E,B,,A,,D,B,,B
E764,B,C,D,B,E,C,E,B,D,A,,,C,,C,A,A,A,B,B,E,B,E,D,A,C,A,C,D,,D,D
E765,D,C,D,B,A,B,E,,D,A,D,A,A,,C,C,C,D,E,B,D,,D,,A,A,A,C,C,,E,B
E766,,D,,A,D,A,B,A,D,A,,D,E,,B,A,E,C,,B,,,A,,A,,A,,E,,C,
E767,A,D,E,C,E,B,D,A,D,A,B,B,C,C,B,C,E,,A,C,,C,,C,,D,D,E,E,D,A,B
E768,B,D,,A,A,A,A,,D,A,,,C,,C,C,E,E,A,B,D,B,B,D,A,,A,,C,E,A,D
E769,D,B,E,B,E,D,E,E,D,D,E,A,C,D,C,C,E,E,C,B,D,B,D,A,C,C,A,D,A,E,A,C
E770,D,D,,B,A,B,E,E,A,A,D,,,C,C,D,,B,D,B,C,,,A,A,,B,D,D,B,A,
E771,D,E,D,B,A,D,E,E,D,A,D,C,C,D,C,A,A,D,E,B,E,B,D,D,A,C,D,C,E,B,A,A
E772,D,D,,A,,D,D,B,D,D,D,A,,,,C,E,,,B,,A,B,D,E,C,A,,D,E,,
E773,B,C,C,C,E,A,B,B,D,B,D,C,A,A,A,D,A,B,E,B,B,B,D,C,E,C,A,C,E,B,E,A
E774,A,D,C,B,E,C,E,C,D,D,B,C,C,,C,C,E,D,B,B,B,B,D,E,E,C,D,C,C,E,A,A
E775,B,A,E,C,E,A,A,E,D,C,E,E,E,A,B,B,E,D,D,E,C,C,E,A,A,,A,B,E,B,E,C
E776,C,A,,B,E,,E,D,D,D,D,,A,D,C,C,,,,B,D,A,A,D,A,,A,B,A,B,A,
E777,E,D,C,C,A,C,D,C,D,D,D,B,C,A,C,C,B,D,A,B,D,C,C,C,B,C,D,C,D,E,B,E
E778,A,C,,B,E,D,D,,D,D,,B,C,C,D,C,E,D,D,B,B,E,D,,C,D,D,,A,B,C,C
E779,B,D,E,B,A,A,D,B,D,E,D,C,D,E,B,C,E,E,B,B,E,A,D,D,C,A,B,B,B,C,A,C
E780,B,A,,B,A,E,D,B,D,A,,,C,,C,C,D,D,,B,E,,,,A,,D,,A,B,C,
E781,A,D,E,D,A,D,A,A,A,A,C,,B,B,C,A,D,C,A,B,,A,B,E,A,A,D,B,D,E,A,A
E782,,D,E,B,E,D,D,E,D,A,D,B,D,C,C,A,E,D,B,B,,C,D,,C,B,A,B,,C,A,B
E783,A,B,,B,D,A,B,E,D,D,,,,A,C,A,,C,,B,A,,C,,A,,A,E,D,E,C,C
E784,D,D,C,A,E,D,D,C,A,D,E,C,E,A,B,B,A,E,E,B,B,E,D,D,D,D,C,B,D,D,A,B
E785,,D,D,B,A,,,E,D,A,D,,C,C,C,C,A,,B,B,,B,D,D,A,A,D,B,,,A,D
E786,B,D,C,E,E,C,D,B,D,A,D,A,C,A,C,C,A,E,D,B,A,B,C,D,C,C,A,E,C,C,A,B
E787,D,D,E,E,E,C,D,,D,A,,,C,A,C,C,E,D,D,B,B,C,D,D,A,D,A,C,D,C,A,A
E788,B,D,D,,D,,D,,D,E,,,,,A,D,,C,D,,B,,,,,,C,,C,A,A,C
E789,E,B,E,C,E,A,E,B,D,D,,,,,,B,A,D,,B,E,B,D,B,B,,D,A,D,A,D,B
E790,A,D,,B,E,A,E,E,D,A,D,D,D,,B,C,E,C,D,B,E,C,D,D,A,A,,B,B,,A,
E791,A,D,D,B,C,A,E,E,D,A,D,A,D,D,A,C,E,A,D,B,C,C,D,D,A,C,A,C,C,B,A,C
E792,A,D,D,B,A,,E,E,D,A,D,C,C,C,C,C,A,B,E,B,B,B,D,D,A,C,D,C,C,B,A,A
E793,A,A,,C,E,C,E,,D,E,C,,C,,A,A,B,D,B,,,D,D,,D,,A,B,D,,A,D
E794,B,C,,E,E,B,A,,C,D,C,,A,A,B,D,B,D,D,B,A,A,A,B,,,A,,A,A,D,C
E795,,,C,A,E,C,E,B,D,,,,A,,C,B,E,A,,B,,,,,C,A,,,,D,,
E796,B,,C,E,,,E,,,D,,,C,,C,D,,D,,B,E,,A,D,,A,A,A,D,,,
E797,A,D,D,B,A,D,A,C,D,B,D,A,C,C,C,C,D,D,,B,,B,C,D,A,A,A,C,B,B,A,A
E798,E,D,E,E,A,B,A,,D,B,D,,B,,C,C,B,E,C,B,,C,C,,B,,B,,C,B,A,E
