,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32
E799,C,D,E,A,A,D,A,A,D,D,D,,C,,E,A,E,E,D,A,A,B,A,,,,A,,E,,A,
E800,D,,,,,,B,,D,C,E,,,,B,,E,C,,D,E,,B,D,A,,,,,,C,A
E801,C,D,E,B,E,C,E,A,D,A,D,C,A,C,C,C,A,D,D,B,D,E,D,,A,C,A,C,C,B,A,A
E802,A,D,C,B,A,D,E,E,C,B,D,C,C,C,C,A,A,D,E,B,C,B,D,D,A,A,D,C,C,A,A,A
E803,B,D,D,B,E,C,E,C,D,B,E,,A,,C,D,B,D,D,B,D,B,D,A,A,D,A,B,D,B,E,C
E804,,,C,B,E,,E,,D,D,B,A,C,,C,D,D,A,D,B,E,B,C,A,D,D,B,,D,B,D,C
E805,A,D,D,B,A,D,D,A,D,A,D,C,C,C,C,C,E,A,E,B,C,B,,D,A,C,A,C,C,C,A,D
E806,B,C,C,C,E,D,E,C,A,D,E,C,C,B,C,C,E,C,D,B,D,B,D,E,E,A,B,E,B,E,A,A
E807,A,D,D,B,A,E,E,E,D,A,D,,C,C,C,A,E,A,B,B,C,B,D,D,A,A,D,C,B,D,A,A
E808,A,D,,E,A,A,E,,D,D,D,,A,,C,C,E,B,,B,D,B,D,,D,,D,C,D,,A,
E809,D,D,C,C,A,,A,B,C,D,D,C,,,A,B,E,D,,C,,C,D,E,A,C,A,B,B,,E,
E810,D,D,E,B,A,A,E,A,D,A,E,,A,,C,A,B,A,D,B,E,C,C,C,A,B,A,C,E,E,C,D
E811,A,C,,D,E,,D,C,D,E,E,B,C,,C,A,E,C,D,,D,,A,A,,A,B,,,D,E,C
E812,B,E,E,A,E,A,D,D,D,B,E,B,C,,D,B,E,C,D,,C,B,D,,A,E,C,C,A,B,D,C
E813,D,,,,,D,E,,D,D,D,A,,,D,D,A,B,,B,E,C,,A,A,D,A,B,D,,A,D
E814,B,D,C,E,C,B,D,B,D,D,D,D,E,,C,A,E,B,C,B,B,B,D,D,A,D,A,C,B,B,A,D
E815,D,D,D,A,A,D,E,,D,A,D,E,B,,A,B,B,A,B,B,B,B,D,A,E,A,A,C,B,C,B,C
E816,D,D,,B,A,C,E,C,D,A,,D,C,C,E,C,E,D,,B,E,B,D,A,A,,D,C,B,C,D,D
E817,D,D,D,D,A,A,D,E,A,A,D,C,A,C,B,C,D,E,C,B,D,B,D,C,D,E,E,C,C,A,A,
E818,B,D,D,,A,A,A,,D,A,D,,C,D,A,B,E,B,,B,,C,,A,D,,A,C,D,A,B,E
E819,D,D,A,A,C,,C,B,B,E,D,,A,A,B,A,E,,C,,A,E,D,C,C,,,A,,B,C,
E820,C,D,E,E,E,A,E,B,D,A,D,,E,C,C,A,E,D,C,B,A,C,,,B,A,E,C,E,B,A,C
E821,,D,D,D,E,A,B,E,D,B,D,A,C,,C,A,E,E,E,B,D,,E,D,A,D,A,C,C,B,A,C
E822,D,D,B,B,D,D,D,A,D,A,B,D,C,B,B,B,E,D,A,B,D,C,C,C,C,A,A,C,D,C,E,D
E823,A,B,,B,E,,A,,D,A,,,C,,B,C,E,D,D,B,D,,D,,,,D,,C,,A,C
E824,D,D,D,B,A,D,E,E,D,C,D,E,C,C,B,C,E,D,D,B,D,B,D,D,A,C,D,C,B,A,A,C
E825,A,A,,E,A,D,E,,D,D,,C,A,,C,A,D,,D,B,E,,D,,A,,A,A,D,,,A
E826,B,B,D,C,E,,A,A,D,C,D,,C,B,B,D,B,C,,B,B,B,C,D,E,B,A,C,B,D,A,
E827,D,B,B,B,C,B,E,C,C,A,E,A,C,D,D,D,E,C,A,,C,E,C,E,A,E,B,B,D,C,D,E
E828,C,D,B,E,E,C,E,C,D,D,D,B,,,C,A,E,B,,B,,C,,D,,C,D,B,,,,
E829,B,C,C,B,C,D,D,A,D,A,D,A,B,B,C,A,E,D,D,B,D,C,C,B,A,E,A,B,C,C,A,A
E830,C,B,,E,E,B,D,,D,A,,,E,,C,C,E,B,D,B,,B,E,,,,A,,,B,E,E
E831,C,D,D,B,A,E,E,E,D,E,D,D,C,,C,A,A,D,C,B,D,B,D,C,A,C,D,C,,A,A,C
E832,C,D,,B,E,B,B,,D,C,,,D,,C,A,B,E,B,B,,C,A,A,A,C,A,,C,,A,A
E833,B,C,,B,E,E,E,,D,A,,,A,,C,C,A,C,A,B,E,C,D,D,A,,A,C,C,,A,A
E834,A,C,,B,C,D,A,,D,B,D,C,B,,D,C,C,A,,B,D,,D,D,A,C,D,B,,,,
E835,A,C,C,D,B,A,B,A,,A,C,,,,,B,E,E,,B,B,D,A,,,E,D,C,A,C,C,C
E836,C,D,,,E,,D,D,D,C,E,B,A,,B,D,B,A,C,B,E,C,C,E,C,,E,,B,,C,C
E837,B,C,E,B,E,A,E,E,D,A,C,E,C,C,B,C,C,D,D,B,E,A,C,E,C,D,D,D,E,E,A,B
E838,C,D,C,A,E,,E,E,D,A,D,C,C,C,B,C,E,E,D,B,E,B,D,D,,C,A,C,C,A,A,C
E839,A,D,D,B,A,C,E,A,D,A,D,,A,C,C,C,E,D,B,B,D,B,D,D,C,A,A,C,B,A,A,D
E840,B,A,E,B,B,A,A,E,B,A,E,D,C,D,E,E,B,E,A,C,E,B,A,E,D,D,E,B,A,E,C,A
E841,C,E,C,A,E,,A,B,D,D,,,A,C,C,A,E,A,D,B,A,,C,B,,,A,,A,C,C,
E842,B,C,E,A,A,C,D,,D,C,C,C,C,C,B,C,E,E,C,B,A,A,D,C,A,D,A,C,D,E,D,B
E843,A,B,C,B,A,D,E,C,D,D,,A,A,C,C,D,A,E,E,B,D,B,D,D,A,,A,B,C,E,D,D
E844,,D,,,E,A,D,,D,B,C,,A,,C,D,B,A,A,D,D,D,B,,,,E,,D,E,B,C
E845,,,,,,,E,,,,,,,,,,,B,,,,,C,,,,A,,,,,
E846,C,D,,A,E,D,D,E,D,A,C,D,A,D,C,C,D,B,B,B,D,B,B,D,D,D,B,A,C,A,E,C
E847,,D,,B,,,E,,D,A,D,,C,C,C,C,A,E,,B,E,,,,A,A,A,C,C,,A,A
E848,A,D,,B,E,C,B,,D,D,,B,C,C,C,A,C,C,C,B,E,,D,D,C,,A,C,D,,A,C
E849,A,D,E,A,E,C,D,B,D,D,,A,C,C,C,C,A,D,B,B,D,B,D,D,A,A,E,D,D,B,A,B
E850,D,,,B,A,D,E,E,D,D,,C,A,,C,C,A,B,B,B,B,B,D,D,A,C,A,D,B,C,A,A
E851,B,D,C,A,E,B,E,E,D,B,C,C,E,A,B,C,E,E,B,B,C,B,C,C,E,D,A,B,D,C,A,A
E852,C,D,D,B,A,C,A,C,D,D,D,B,E,B,C,C,E,A,C,B,C,B,D,D,A,D,A,C,C,B,A,A
E853,D,D,E,E,A,C,E,B,D,B,E,C,C,C,C,C,A,B,B,B,C,D,E,A,A,A,E,C,E,A,A,A
E854,C,B,D,B,E,C,D,C,D,A,D,D,C,C,A,C,E,D,A,B,,B,D,D,A,C,A,C,C,B,A,C
E855,A,,,,,A,A,B,D,D,,,C,,B,B,,A,A,,,,B,,,,B,,B,D,,
E856,A,A,E,B,E,E,E,C,D,A,E,A,E,D,A,A,E,B,E,B,B,E,C,E,B,E,A,C,D,B,A,C
E857,D,A,C,A,E,D,E,D,D,E,,,A,,B,D,E,D,,B,A,C,B,E,,C,C,E,,,,
E858,A,D,C,B,E,D,E,E,D,A,D,A,A,C,C,A,E,D,E,B,C,B,D,D,A,C,A,C,B,A,B,A
E859,A,E,E,D,D,D,A,B,C,D,A,B,A,A,A,E,E,A,B,A,A,B,B,A,D,A,A,C,D,D,C,C
E860,B,D,E,A,E,D,E,,D,B,B,D,A,,C,A,E,E,A,B,B,B,A,D,A,B,D,D,D,B,A,C
E861,B,D,B,C,,,B,,C,A,D,E,A,C,C,A,E,C,B,B,C,C,B,C,D,A,D,,D,,A,E
E862,B,A,,E,A,A,A,B,D,D,B,C,A,E,A,C,E,A,D,B,,C,D,C,E,,A,B,A,,C,B
E863,A,D,D,E,C,D,D,B,D,A,D,C,C,A,B,C,E,B,B,B,E,B,A,A,A,A,D,C,D,A,A,A
E864,D,D,D,C,,C,A,,D,A,B,,E,E,B,A,E,E,D,B,D,B,C,A,D,,A,D,B,A,A,
E865,D,A,A,C,E,A,D,D,D,B,E,,B,,A,D,B,D,,A,B,D,B,A,,,A,,D,B,C,B
E866,B,,E,,,,B,B,D,D,C,C,B,B,A,E,B,C,,B,E,B,A,C,B,D,C,,A,C,B,B
E867,D,D,D,A,A,D,D,A,D,A,D,B,C,A,C,C,B,E,D,B,D,B,B,D,A,A,D,B,B,B,A,C
E868,,D,E,B,C,A,E,B,D,A,D,,D,,C,A,A,D,,B,E,D,D,A,B,A,A,C,B,D,A,A
E869,A,C,E,C,E,A,C,B,D,A,E,A,D,D,B,D,E,D,D,A,C,C,C,B,C,B,D,E,E,C,E,B
E870,,C,C,A,D,D,D,E,D,A,D,C,C,,C,C,E,A,A,B,,C,D,A,A,,A,C,D,,A,
E871,A,,E,E,,,,E,D,C,,,C,D,D,,E,D,,D,A,,,,A,,,E,,,,
E872,A,A,D,B,E,B,E,B,D,A,D,B,A,C,C,A,A,A,E,B,A,C,D,A,D,A,A,C,A,C,A,A
E873,D,D,C,B,A,C,A,B,D,B,D,C,A,,C,A,E,D,A,B,E,B,,B,A,B,A,B,A,A,A,A
E874,A,D,D,B,A,C,E,E,D,A,D,C,E,A,D,A,E,A,E,B,D,C,D,D,A,A,D,C,C,E,A,
E875,A,,B,C,A,A,E,,D,B,,,C,,D,A,C,C,E,,A,B,C,,,,,,A,C,C,A
E876,B,A,D,A,A,A,D,C,D,D,D,C,C,,,D,E,E,,D,,,B,D,,,B,,B,B,,D
E877,,D,,,,D,,,D,B,C,,,,C,C,D,A,,B,,C,,D,,,B,C,E,,C,
E878,E,D,C,C,E,B,B,E,C,D,E,B,D,E,B,D,A,E,D,B,A,C,,D,E,E,A,E,C,B,A,C
E879,A,D,,B,E,D,E,A,D,A,,,C,,C,C,A,D,A,B,D,B,,A,D,,D,C,C,,A,A
E880,D,D,,B,A,D,E,,D,B,,,C,C,C,A,A,D,B,B,B,B,E,,D,,D,C,E,,A,D
E881,D,D,D,B,A,D,E,,D,,D,C,,,C,C,E,D,D,B,C,B,,,A,A,D,C,C,B,A,A
E882,D,D,D,B,A,D,E,C,D,A,D,C,C,C,C,C,A,D,E,B,C,B,D,B,A,C,A,C,C,E,A,A
E883,D,D,E,C,E,A,D,E,D,B,E,C,E,C,E,A,C,D,B,B,B,C,A,B,E,B,A,B,D,B,E,C
E884,B,D,D,,E,C,D,,D,A,C,A,,,C,D,B,,,B,,B,,D,A,C,,C,,,,
E885,C,D,C,B,E,C,D,D,D,A,,,E,A,C,C,A,D,E,B,C,B,D,E,A,C,B,B,,B,A,A
E886,A,D,,B,,,D,A,D,,,,C,B,C,A,D,D,E,B,C,B,D,,A,,D,C,D,B,A,A
E887,D,,,C,,,,E,D,B,,,E,A,D,D,E,D,D,B,E,,D,B,A,,A,D,D,,,C
E888,A,C,B,B,A,E,A,B,A,E,C,B,C,C,B,E,C,C,C,B,B,E,A,B,B,,C,A,B,D,C,D
E889,A,D,D,B,A,D,E,E,D,A,D,D,A,,,C,,A,,B,D,,D,D,A,D,D,C,C,A,A,
E890,,D,E,B,E,C,D,,D,B,D,,A,D,C,C,E,A,B,B,D,C,D,,A,,E,C,D,B,A,C
E891,A,B,C,A,E,D,D,A,C,D,D,E,B,,C,D,E,C,,B,A,D,D,D,A,C,A,B,A,E,A,C
E892,A,A,,,E,A,A,B,D,D,B,,,,B,D,C,C,,D,D,,A,,,,E,,A,A,C,B
E893,,,,,B,A,,,D,,,,E,C,,,,D,C,E,E,D,D,,,,A,,D,D,E,B
E894,D,A,D,B,E,C,D,A,C,C,E,B,D,C,A,D,E,A,D,B,B,C,B,A,A,D,D,C,A,D,E,B
E895,,,C,,E,,E,E,D,A,C,,B,D,,B,,E,D,B,C,A,B,C,E,B,A,C,A,,B,C
E896,A,,C,B,E,,E,,D,A,,,E,,A,C,E,D,D,B,D,B,E,,D,C,D,,C,B,E,C
E897,,E,,A,A,A,A,A,D,A,D,E,A,B,D,A,C,,D,B,B,C,A,C,A,E,A,C,E,C,E,
E898,C,B,,A,A,A,D,,D,A,E,,C,,C,B,A,C,,D,E,B,B,E,,,A,,B,,A,
E899,,D,,A,,,E,,D,D,E,B,,,,C,D,A,,B,,,E,,,,C,,A,,B,
E900,A,D,D,B,E,E,E,A,D,A,D,E,C,C,C,C,A,B,C,B,C,B,A,C,A,A,D,C,B,B,A,D
E901,D,D,D,A,E,D,D,C,D,D,D,C,A,D,A,C,A,E,D,B,C,C,D,D,E,C,A,C,B,B,A,
E902,D,D,E,E,E,D,A,D,D,D,,,C,D,C,D,E,E,D,B,D,A,B,A,D,B,D,B,D,A,A,C
E903,D,D,,E,D,D,D,B,D,D,,A,C,,D,D,A,E,D,C,E,C,,A,B,,D,,A,B,D,B
E904,D,,,C,A,E,A,,C,A,,,C,A,B,C,E,C,D,B,A,C,,,A,,A,E,D,,E,C
E905,B,,,B,A,,D,,D,E,,,,,,A,D,D,,B,C,E,C,D,D,,E,,B,,A,
E906,E,D,D,B,A,D,E,E,D,A,E,,,C,C,,E,D,B,B,E,B,D,E,A,C,A,C,C,A,A,A
E907,C,D,D,B,A,D,E,B,D,A,D,A,C,A,C,A,E,D,B,B,A,E,D,A,C,C,A,C,D,C,A,A
E908,D,D,,C,A,E,B,B,D,A,E,,C,C,C,D,B,E,C,B,D,C,D,C,E,A,A,B,D,E,A,C
E909,,,B,,E,,A,,D,D,,,A,,D,B,B,E,,B,B,E,,,,,,,,C,,
E910,A,B,D,B,A,D,E,E,C,D,,C,C,,C,A,A,D,E,B,A,B,D,C,A,C,D,C,D,D,E,A
E911,,D,,,,,,,D,E,D,,,,,D,,A,,B,,,,,,A,,,D,,,
E912,B,A,E,A,E,D,E,B,D,C,E,,A,A,C,D,B,D,,B,E,B,B,D,A,A,A,,E,,A,D
E913,D,D,D,A,D,D,E,B,D,C,D,E,A,E,A,A,A,C,D,B,B,B,D,A,A,D,D,A,C,C,A,C
E914,E,B,C,B,A,E,D,E,D,A,D,C,,C,C,B,B,B,D,B,,D,D,A,A,D,A,D,D,,A,
E915,C,D,B,A,A,D,E,E,D,B,D,C,C,C,A,A,E,D,A,B,D,B,B,C,A,C,A,C,C,B,A,D
E916,,E,D,B,A,D,D,,D,A,C,,C,,C,C,D,B,B,B,E,B,D,E,A,,A,,,B,A,B
E917,E,B,,E,E,D,,,D,A,,,D,,B,A,E,D,D,B,C,,D,A,D,,A,B,,A,E,B
E918,A,A,,B,A,D,E,,D,D,,,D,D,B,A,E,D,E,B,,B,D,D,C,,A,,D,C,A,A
E919,D,D,,B,,,D,,D,B,D,,A,C,C,C,A,C,D,B,C,B,E,,A,,E,C,,,A,C
E920,E,C,,C,,,E,A,D,D,E,B,E,C,E,A,C,C,,D,E,D,B,,,B,A,E,A,D,C,A
E921,C,D,D,A,C,C,B,E,C,A,D,A,C,C,C,A,E,,B,B,C,E,A,D,A,D,A,C,,,A,D
E922,C,B,E,A,A,D,E,,D,D,,C,B,A,B,C,E,E,D,B,C,,D,E,A,,A,E,,,A,D
E923,B,D,,B,A,D,A,A,D,C,,A,A,,B,C,E,C,B,B,A,,D,C,A,,A,E,,A,A,
E924,D,D,D,B,A,D,D,E,D,B,D,A,C,D,C,C,D,D,A,B,D,B,A,D,A,A,A,C,D,A,E,A
E925,A,,,B,A,,E,E,D,A,,,,C,C,D,,D,B,B,,,,,A,,A,C,,,,A
E926,E,,D,B,E,D,E,B,C,D,D,C,C,C,C,C,A,B,E,B,B,B,,D,A,C,D,B,A,C,A,A
E927,D,B,E,E,C,A,E,B,D,D,D,C,C,A,D,D,E,C,E,B,B,C,E,D,B,B,D,A,A,A,B,C
E928,A,D,C,B,E,C,E,A,D,A,B,D,A,D,C,C,A,D,B,B,A,B,D,D,C,C,D,C,B,B,A,D
E929,,,,,E,D,,,D,D,,,,A,B,B,D,D,B,B,E,E,C,,,,,,,B,A,D
E930,D,D,D,B,A,D,D,E,D,A,D,C,C,E,C,D,E,A,C,B,D,B,D,D,A,C,D,C,B,B,A,C
E931,A,D,D,B,A,D,E,B,D,A,D,A,C,C,C,C,A,D,B,B,D,B,D,D,A,A,D,C,E,A,A,A
E932,D,D,C,B,E,D,D,E,D,D,D,C,C,D,C,C,E,D,A,B,D,B,D,A,A,C,A,C,B,B,A,D
E933,D,D,C,B,,D,E,A,D,C,D,C,E,,D,C,E,C,D,B,E,C,E,,,C,A,C,D,C,E,B
E934,B,D,D,B,E,C,E,A,D,A,D,A,C,C,D,C,A,A,,B,D,D,D,D,A,C,A,C,C,B,D,A
E935,A,D,B,C,A,A,E,A,D,B,D,C,B,,C,C,E,D,D,B,E,C,D,D,D,C,A,D,D,D,A,E
E936,,D,D,,E,C,E,,D,D,B,C,,,B,D,,D,B,B,D,C,,E,A,,B,,D,C,B,
E937,A,A,,B,E,D,,,D,A,D,,A,,C,,A,D,D,C,D,B,A,,A,,A,,,B,A,A
E938,A,D,D,B,A,C,E,,C,A,D,E,C,D,C,D,E,D,E,B,D,B,D,D,A,C,D,C,C,A,A,A
E939,D,A,,,C,A,D,C,D,B,,,,,C,D,C,C,,A,E,E,B,A,,,D,B,C,D,B,B
E940,B,E,,B,E,,D,C,D,D,,,A,A,E,B,E,B,,,,B,,,,,,E,D,,E,B
E941,A,D,D,B,A,A,E,A,D,A,D,C,C,B,C,C,A,B,B,B,D,A,D,D,A,A,D,C,B,B,A,A
E942,A,A,E,B,A,E,D,B,D,D,B,C,E,,C,C,E,C,E,B,E,A,D,A,E,E,A,D,B,C,E,A
E943,D,D,C,B,A,A,D,B,D,D,D,B,E,,B,C,B,E,A,B,E,C,C,C,C,A,D,B,B,,C,A
E944,A,D,C,B,E,E,E,E,D,A,C,,C,D,C,C,E,D,D,B,E,B,D,,A,C,D,C,B,C,A,A
E945,D,A,B,,E,A,E,B,D,D,E,E,,E,A,A,A,D,D,,E,C,,E,C,B,A,A,D,D,D,E
E946,E,C,C,C,C,D,E,C,D,C,,,D,C,B,C,A,C,C,C,D,C,E,C,E,D,D,C,E,D,C,B
E947,A,A,,,C,C,B,,D,A,,,A,B,C,C,A,E,D,B,E,B,D,,,,A,C,D,C,A,
E948,A,B,,B,A,B,A,,D,C,,,E,D,D,D,E,B,E,D,,,,C,C,,B,,B,E,C,
E949,D,A,B,,E,,D,D,D,D,E,,B,A,,E,B,A,,,,B,,C,,,D,,C,C,A,C
E950,B,D,E,C,A,A,B,A,D,D,C,B,,,,D,,B,D,,E,C,,C,,C,D,B,,C,,C
E951,D,D,,B,E,A,E,B,D,D,,,C,D,C,D,E,B,C,B,B,C,B,,E,,A,C,E,B,A,B
E952,D,D,D,A,E,E,E,B,D,D,D,B,A,A,B,C,E,E,B,B,A,B,B,,D,E,A,C,A,E,E,C
E953,B,C,,E,E,,A,D,D,A,,,C,,B,C,E,B,,B,B,,E,,C,,A,,,,C,
E954,A,C,,A,A,A,B,,D,D,D,,E,,C,B,E,C,,B,E,B,D,,,,A,C,,,A,D
E955,D,D,C,E,E,D,D,C,D,B,E,A,A,E,C,C,E,A,C,D,E,C,D,D,A,C,A,A,C,E,A,D
E956,,D,,C,A,C,D,,D,C,D,,,,B,C,E,D,,,,B,,,,C,B,,,,,
E957,D,A,D,B,B,D,B,A,C,D,,E,E,B,D,E,D,D,D,B,A,A,D,A,E,A,A,B,D,D,D,A
E958,B,D,E,,,E,,,D,D,D,B,C,D,D,A,E,D,D,B,E,E,E,C,E,C,A,C,D,E,B,D
E959,B,D,D,A,E,A,E,A,D,A,E,D,B,B,D,C,E,C,A,B,E,E,D,C,A,A,A,C,C,B,A,B
E960,A,C,D,C,A,B,A,A,C,D,E,B,A,C,D,D,A,C,D,B,A,A,D,E,A,C,A,A,D,C,B,D
E961,B,D,C,D,E,E,A,C,C,D,E,C,C,D,C,B,E,A,E,D,C,A,D,C,D,A,A,A,A,B,D,A
E962,C,E,C,A,E,,D,B,D,,B,,C,A,E,D,A,E,D,A,B,E,B,E,,,B,B,D,C,A,
E963,A,D,D,C,E,D,A,E,D,A,D,D,C,,C,C,B,B,D,B,E,B,D,C,A,A,D,C,B,B,A,
E964,A,C,,A,E,D,E,C,D,A,D,A,A,C,C,C,E,D,D,B,D,B,,,A,A,D,C,B,,A,A
E965,D,D,D,B,A,D,E,B,D,A,D,,C,C,C,C,E,D,E,B,E,C,D,A,B,C,A,C,B,C,A,B
E966,E,A,,A,C,D,E,,D,B,,,E,,C,A,D,E,B,B,,,E,,,,,,D,B,A,C
E967,D,D,,E,E,A,B,B,D,C,,E,E,,C,C,E,C,A,B,B,B,D,,A,,A,D,D,C,C,E
E968,D,,B,B,,,A,A,D,,E,,A,,D,D,E,A,C,D,A,D,D,,E,,A,,E,,B,
E969,,,,,B,,A,A,B,C,,,,,B,B,,,,,E,,,,,,A,,,D,C,B
E970,A,D,C,A,C,B,E,B,D,A,D,,A,,C,D,E,D,,B,C,C,C,D,A,C,A,,B,A,B,A
E971,E,D,A,A,D,C,D,C,D,A,D,C,A,E,B,A,B,A,A,A,E,C,B,E,C,B,A,E,D,A,C,C
E972,C,D,E,A,A,D,E,C,D,A,,,C,C,C,C,D,E,B,B,E,B,B,C,A,,A,D,E,E,A,C
E973,A,C,C,B,A,D,B,C,C,D,D,C,C,A,C,A,A,D,E,B,B,E,E,A,A,A,D,A,E,B,E,C
E974,A,E,C,B,E,B,D,B,D,A,D,,B,,C,C,E,D,D,B,E,B,D,,D,C,A,C,D,E,A,A
E975,A,D,C,B,A,A,B,E,D,B,D,,C,C,C,C,A,D,C,B,D,B,C,A,A,A,A,B,B,E,A,A
E976,A,A,,A,,,B,A,D,D,,,E,C,A,A,E,E,D,B,B,D,D,,E,,A,,B,E,D,B
E977,,D,,B,E,D,E,,D,A,D,E,C,,C,C,E,A,A,B,C,A,A,D,C,A,E,D,B,E,A,C
E978,D,D,D,B,E,C,E,,D,A,B,B,A,C,C,C,A,D,B,B,,B,B,D,A,C,D,C,E,E,E,A
E979,C,,D,B,A,B,E,E,D,A,D,C,A,C,C,C,,D,,B,A,C,D,,A,C,A,A,B,C,A,D
E980,A,D,D,B,A,D,E,E,D,A,D,D,A,D,C,C,E,D,B,B,B,B,D,D,D,A,A,C,E,B,A,C
E981,A,B,B,B,A,E,E,E,D,A,D,,C,,C,C,A,D,B,B,,B,D,D,A,A,D,B,D,A,D,A
E982,,D,C,B,A,E,,E,D,B,D,C,C,C,C,C,A,D,E,B,D,B,D,D,A,A,D,C,,A,A,A
E983,A,,E,,A,D,A,B,D,D,D,,,C,C,C,A,E,,B,C,C,,,A,A,D,B,,,A,
E984,C,C,C,A,C,B,B,C,D,A,D,C,A,D,C,C,B,E,D,B,D,A,E,D,A,A,A,D,B,A,A,A
E985,B,D,D,B,E,E,A,E,D,D,D,D,E,C,C,A,E,E,D,B,E,B,D,,A,C,D,C,C,B,A,
E986,C,D,E,D,A,D,E,B,D,B,D,E,C,D,B,C,E,E,A,B,C,C,C,E,A,C,D,C,B,B,B,B
E987,B,D,,,E,D,D,,C,D,,B,C,B,,C,A,C,A,B,E,C,C,C,D,,,,A,B,D,C
E988,,,,C,,,A,,D,C,,,A,,,D,E,,,B,B,,C,,,,D,,,,A,C
E989,B,D,D,E,A,D,D,E,D,A,D,C,C,D,C,C,E,D,D,B,C,B,D,D,A,A,D,C,C,,A,A
E990,A,D,C,B,A,E,E,D,D,B,E,B,A,E,D,B,D,D,C,C,C,D,D,C,D,D,B,C,D,C,D,D
E991,C,D,D,B,,D,E,A,D,,D,C,C,,C,C,D,B,A,B,,B,A,D,A,C,A,D,,C,A,D
E992,B,D,C,A,E,C,A,E,D,C,D,A,C,C,B,A,E,A,B,B,D,E,A,C,A,A,C,E,E,E,B,E
E993,D,D,C,B,E,A,A,C,D,D,D,B,B,C,C,C,E,C,A,B,E,C,A,E,C,B,B,B,B,D,B,B
E994,E,D,D,B,A,D,D,B,D,A,D,C,C,E,C,A,A,E,A,B,C,A,D,D,A,C,E,C,C,B,A,A
E995,D,A,,B,A,D,E,,D,D,E,B,D,,C,A,A,D,B,B,,,,,,,D,C,D,,,D
E996,D,,,C,A,B,E,B,A,C,,,E,D,,D,D,D,D,D,B,E,D,B,D,,D,C,C,B,D,A
E997,D,E,,C,A,D,D,C,D,C,D,A,C,D,B,C,E,E,B,B,E,B,B,,A,,A,C,,A,B,
E998,A,D,C,B,E,D,D,A,D,A,D,,A,,C,C,A,A,A,B,C,A,D,,C,C,D,C,B,C,A,D
E999,D,D,E,,E,C,E,E,D,A,E,,,,C,B,E,,D,,D,A,D,,D,,B,C,E,A,A,
E1000,B,B,E,D,C,C,,,D,D,E,,,,,A,B,D,,B,,,C,D,A,A,A,,A,,,C
